measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,1999,290244802.4,346936206,240380713.1
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,1999,0.009066263,0.010983574,0.00747201
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1999,4776.975685,5710.027556,3956.290732
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,1998,288260818.3,342910870.5,239030042.4
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,1998,0.009106967,0.011019195,0.007547228
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1998,4807.075575,5718.427083,3986.096638
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,2000,294423575.4,354529706.5,243924753.9
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,2000,0.009093462,0.011046612,0.007504456
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,2000,4783.168164,5759.644766,3962.770696
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,2001,298898197.1,357889502.6,249194960.4
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,2001,0.009129383,0.011053961,0.007539828
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,2001,4793.472697,5739.524613,3996.374853
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,2002,301495533.6,360705823.1,253256721.2
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,2002,0.009111365,0.01096306,0.007598005
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,2002,4773.162604,5710.557385,4009.464075
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,2003,303239644.3,362903666.2,256952981.8
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,2003,0.009070517,0.010915965,0.007619596
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,2003,4739.708119,5672.271041,4016.23652
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,2004,305321330.9,365939543.9,259314768.2
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,2004,0.009040056,0.010885499,0.007633959
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,2004,4711.96198,5647.470528,4001.952058
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,2007,315526237.4,373366705.6,269144024.5
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,2007,0.009084012,0.0108338,0.007683762
